print,read,write,append
0.923549,0.000000,1.820552,12.818725,27.336534,37.384847,44.760280,50.584634,69.803402,99.638226,86.239468
711.406569,891.703329,1106.738457,1482.148486,1733.219672,1916.394156,2146.836862,2287.609448,2602.282364
100.080744,6743.061904,9008.957744,735.790744
131.701744,18623.126904,15781.298744,3822.033744
133.133744,17829.365904,17757.693744,4151.859744
136.312744,15872.860904,17795.713744,3968.042744
145.462744,18303.868904,18070.105744,3829.152744
133.030744,17063.266904,17103.936744,3852.715744
139.823744,17517.616904,16429.006744,4456.195744
143.793744,17515.128904,16984.640744,5326.408744
100.125744,17236.602904,13763.032744,3975.682744
173.079744,19117.486904,13510.360744,4042.494744
76.156744,17594.696904,14261.542744,3788.716744
96.240744,17015.367904,13691.936744,7522.734744
217.258744,17327.772904,16117.092744,4114.162744
142.223744,18973.532904,14259.581744,3844.118744
92.448744,18009.386904,14508.403744,4177.943744
252.606744,18228.078904,15072.416744,4130.373744
304.475744,20894.163904,14493.507744,5107.047744
167.709744,18345.624904,32523.233744,6259.263744
322.619744,18383.797904,17723.461744,6271.801744
223.990744,19462.959904,21625.315744,6561.648744
359.850744,21325.947904,20198.682744,7954.804744
400.092744,21028.057904,27194.285744,8797.394744
420.400744,22809.165904,26112.999744,8417.516744
524.269744,24188.900904,24893.455744,8846.968744
595.679744,24485.419904,25750.672744,10608.716744
717.736744,24920.627904,25346.017744,10340.165744
858.536744,26341.199904,29531.027744,12742.292744
952.823744,27166.550904,31396.684744,13764.678744
1076.750744,29986.494904,32678.631744,15786.954744
1149.737744,27745.472904,33509.146744,13960.083744
1396.587744,28814.796904,42779.301744,16008.807744
1438.900744,30210.100904,40926.251744,19197.014744
1543.795744,29970.428904,37540.161744,19491.264744
1802.546744,30010.750904,37554.809744,19452.604744
1729.318744,30073.180904,53503.152744,22511.341744
3598.175744,29831.941904,46037.901744,21654.581744
2070.185744,32794.999904,46897.959744,21802.100744
2581.204744,35308.743904,49359.361744,24446.387744
2585.181744,33563.729904,60501.541744,29509.710744
2974.393744,33877.162904,64216.194744,38638.573744
3117.675744,40835.281904,57081.772744,36593.572744
7674.373744,40854.584904,59650.603744,36502.227744
7921.229744,49750.648904,66013.086744,42083.912744
8128.604744,50265.847904,70951.955744,45027.448744
9231.269744,53124.133904,66281.485744,45560.778744
9747.782744,54681.560904,78364.835744,49947.232744
9876.905744,51214.282904,86706.647744,54749.309744
10086.091744,51837.014904,94746.390744,55843.773744
11150.813744,54364.099904,82166.178744,56967.011744
11992.062744,54202.585904,95322.796744,58253.676744
12698.264744,54715.711904,94355.982744,59156.175744
13358.440744,57157.414904,90228.242744,66069.666744
13417.118744,115943.611904,106549.064744,69608.733744
14423.830744,89451.528904,110074.644744,73919.857744
15467.237744,91679.418904,109354.705744,77672.709744
16069.316744,84197.251904,112050.415744,79443.130744
18362.895744,84752.515904,119891.389744,84089.727744
18894.063744,86029.472904,133847.580744,82635.949744
19384.324744,73355.463904,128107.340744,88715.191744
22338.712744,79965.931904,151003.138744,100780.957744
22157.442744,87902.823904,149939.193744,106536.980744
23611.276744,107211.263904,165144.241744,113913.686744
24995.371744,86524.083904,185324.042744,113890.987744
26016.797744,79281.636904,180791.150744,110138.191744
74229.422744,92445.287904,191131.073744,126469.889744
28161.407744,152685.195904,200752.515744,126243.956744
30639.276744,88644.208904,229706.823744,128429.228744
28877.599744,106770.268904,204282.923744,138590.851744
30777.785744,116824.046904,228197.456744,148529.931744
35760.441744,139313.185904,224806.155744,162375.716744
